Plate ID	Well Name	MEASUREMENT SET ID	Cell: W2 Nucleus Average Intensity (MultiWaveScoring)	Cell: W2 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W2 Cell Average Intensity (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	Cell: W3 Nucleus Average Intensity (MultiWaveScoring)	Cell: W3 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W3 Cell Average Intensity (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Total Cells (MultiWaveScoring)	Cell.line	Timepoint
10369	G18	20278	8408.23258	9947.272977	7995.35919	99.886429	8408.23258	9947.272977	9195.249248	99.659286	1761	CFPAC1	Day01
10369	G19	20278	7372.539456	8555.955337	8204.457958	100	7372.539456	8555.955337	7995.35919	99.435562	1063	CFPAC1	Day01
10369	G20	20278	9591.923357	7605.749228	9121.165138	99.563316	9591.923357	7605.749228	8204.457958	96.506554	458	CFPAC1	Day01
10369	G21	20278	8554.328437	9796.303349	9259.789847	99.915253	8554.328437	9796.303349	9121.165138	99.322037	1180	CFPAC1	Day01
10369	G22	20278	8859.174648	9790.702668	1056.060865	99.918831	8859.174648	9790.702668	9259.789847	99.350647	1232	CFPAC1	Day01
10369	H13	20278	994.2108299	1191.251572	1310.095557	79.758713	994.2108299	1191.251572	1056.060865	2.010724	746	CFPAC1	Day01
10369	H14	20278	1267.582327	1422.434429	1099.928519	91.282051	1267.582327	1422.434429	1310.095557	8.376068	585	CFPAC1	Day01
10369	H15	20278	1034.134185	1285.145312	885.3047805	83.147324	1034.134185	1285.145312	1099.928519	2.566964	896	CFPAC1	Day01
10369	H16	20278	893.2851596	581.437886	1094.548796	50.409836	893.2851596	581.437886	885.3047805	0.204918	488	CFPAC1	Day01
10369	H17	20278	1114.636329	902.9321189	7859.293298	73.177841	1114.636329	902.9321189	1094.548796	0.874636	343	CFPAC1	Day01
10369	H18	20278	7807.948353	8194.291347	7358.313085	100	7807.948353	8194.291347	7859.293298	98.823532	1105	CFPAC1	Day01
10369	H19	20278	8185.068194	7106.974697	7230.171891	99.878494	8185.068194	7106.974697	7358.313085	97.56987	823	CFPAC1	Day01
10369	H20	20278	7587.418326	7209.563531	7231.415258	99.883453	7587.418326	7209.563531	7230.171891	98.251747	858	CFPAC1	Day01
10369	H21	20278	7342.433324	7464.625993	6741.500441	100	7342.433324	7464.625993	7231.415258	98.885513	987	CFPAC1	Day01
10369	H22	20278	6534.554667	7068.65683	670.729381	99.882904	6534.554667	7068.65683	6741.500441	96.311478	1708	CFPAC1	Day01
10369	I13	20278	670.5502569	30.84042339	648.4237201	1.918977	670.5502569	30.84042339	670.729381	0	469	CFPAC1	Day01
10369	I14	20278	643.466673	293.3511504	700.6653855	13.28125	643.466673	293.3511504	648.4237201	0	1024	CFPAC1	Day01
10369	I15	20278	692.9427155	327.8690553	633.5725836	12.083333	692.9427155	327.8690553	700.6653855	6.94E-02	1440	CFPAC1	Day01
10369	I16	20278	626.482754	329.3369788	623.2058377	12.032085	626.482754	329.3369788	633.5725836	0	748	CFPAC1	Day01
10369	I17	20278	630.728403	91.04236283	19445.8888	4.404145	630.728403	91.04236283	623.2058377	0.259067	772	CFPAC1	Day01
10369	I18	20278	23044.68165	18018.98852	19851.03027	100	23044.68165	18018.98852	19445.8888	99.451553	547	CFPAC1	Day01
